kbp_code,description_from_tn2023_1,frequency
KBP4590J,National government tax revenue: Taxes on international trade and transactions: Import duties,annual (J)
KBP6000J,Compensation of employees,annual (J)
KBP6001J,Net operating surplus,annual (J)
KBP6002J,Consumption of fixed capital (Depreciation),annual (J)
KBP6007J,Final consumption expenditure by households: Total (PCE),annual (J)
KBP6008J,Final consumption expenditure by general government,annual (J)
KBP6009J,Gross fixed capital formation (Investment),annual (J)
KBP6010J,Change in inventories,annual (J)
KBP6011J,Residual item,annual (J)
KBP6013J,Exports of goods & services,annual (J)
KBP6014J,Imports of goods & services,annual (J)
KBP6207J,Compensation of South African employees abroad,annual (J)
KBP6208J,Compensation of South African residents in the rest of the world,annual (J)
KBP6240J,Compensation of residents,annual (J)
KBP6245J,Current taxes on income and wealth of households,annual (J)
KBP6600J,Other taxes on production in all industries,annual (J)
KBP6601J,Other subsidies on production in all industries,annual (J)
KBP6603J,Taxes on products,annual (J)
KBP6604J,Subsidies on products,annual (J)
KBP6706J,Generation of income account: Gross operating surplus of Financial corporations,annual (J)
KBP6707J,Allocation of primary income account: Property income received: Financial corporations,annual (J)
KBP6710J,Allocation of primary income account: Property income paid: Financial corporations,annual (J)
KBP6715J,Secondary distribution of income account: Social contributions received: Financial corporations,annual (J)
KBP6716J,Secondary distribut ion of income account: Other current transfers received: Financial corporations,annual (J)
KBP6717J,Secondary distribution of income account: Current taxes on income and wealth paid by Financial corporations,annual (J)
KBP6718J,Secondary distribution of income account: Social benefits paid by Financial corporations,annual (J)
KBP6720J,Secondary distribution of income account: Non- life insurance claims paid: Financial corporations,annual (J)
KBP6721J,Secondary distri bution of income account: Miscellaneous transfers paid: Financial corporations,annual (J)
KBP6724J,Use of disposable income account: Residual: Financial corporations,annual (J)
KBP6725J,Use of disposable income account: Gross saving of Financial corporations,annual (J)
KBP6746J,Generation of income account: Gross operating surplus of non- financial corporations,annual (J)
KBP6747J,Allocation of primary income account: Property income received: Non- financial corporations,annual (J)
KBP6752J,Allocation of primary income account: Property income paid: Non- financial corporations,annual (J)
KBP6758J,Secondary distribution of income account: Current taxes on income and wealth paid by non- financial corporations,annual (J)
KBP6759J,Secondary distribution of income account: Social contributions paid by non- financial corporations,annual (J)
KBP6762J,Secondary distribution of income account: Miscellaneous current transfers paid: Non- financial corporations,annual (J)
KBP6764J,Use of disposable income account: Residual: Non- financial corporations,annual (J)
KBP6765J,Use of disposable income account: Gross saving of non-financial corporations,annual (J)
KBP6786J,Generation of income account: Gross operating surplus of General government,annual (J)
KBP6787J,Allocation of primary income account: Property income received: General government,annual (J)
KBP6791J,Allocation of primary income account: Property income paid: General government,annual (J)
KBP6794J,Secondary distribution of income account: Social contributions received: General government,annual (J)
KBP6797J,Secondary distribution of income account: Miscellaneous transfers received: General government,annual (J)
KBP6798J,Secondary distribution of income account: Social benefits paid: General government,annual (J)
KBP6801J,Secondary distribution of income account: Miscellaneous current transfers paid: General government,annual (J)
KBP6803J,Use of disposable income account: Gross saving of General government,annual (J)
KBP6826J,Generation of income account: Gross operating surplus / mixed income of households and NPISHs,annual (J)
KBP6827J,Allocation of primary income account: Property income received: Households and NPISHs,annual (J)
KBP6832J,Allocation of primary income account: Property income paid: Households and NPISHs,annual (J)
KBP6836J,Secondary distribution of income account: Social benefits received: Households and NPISHs,annual (J)
KBP6838J,Secondary distribution of income account: Non-life insurance claims: Households and NPISHs,annual (J)
KBP6840J,Secondary distribution of income account: Social contributions paid: Households,annual (J)
KBP6842J,Secondary distribution of income account: Net non-life insurance premiums: Households and NPISHs,annual (J)
KBP6845J,Use of disposable income account: Adjustment for the change in net equity in pension fund reserves: H ouseholds & NPISHs,annual (J)
KBP6846J,Use of disposable income account: Residual: Households and NPISHs,annual (J)
KBP6848J,Use of disposable income account: Gross saving of households and NPISHs,annual (J)
KBP6870J,Production account: Output of total domestic economy,annual (J)
KBP6871J,Production account: Intermediate consumption of total domestic economy,annual (J)
KBP6901J,External account of primary incomes a nd current transfers: Property income received: ROW,annual (J)
KBP6904J,External account of primary incomes and current transfers: Property income paid: ROW,annual (J)
KBP6908J,External account of primary incomes and current transfers: Current international co-operation received: ROW,annual (J)
KBP6909J,External account of primary incomes and current transfers: Miscellaneous current transfers received: ROW,annual (J)
KBP6911J,External account of primary incomes and current transfers: Current international co-operation paid: RoW,annual (J)
KBP6912J,External account of primary incomes and current transfers: Miscellaneous current transfers paid: RoW,annual (J)
KBP6913J,External account of primary incomes and current transfers: Current external balance: RoW,annual (J)
KBP6918J,Secondary distribution of income account: Net non- life insurance premiums received : ROW,annual (J)
KBP6919J,"Secondary distribution of income account: Non-life insurance claims received: ROW xxi (Commodities,Households)…Rb3,589",annual (J)
KBP6934J,Secondary distribution of income account: Net non -life insurance premiums paid : ROW,annual (J)
KBP6935J,"Secondary distribution of income account: Non-life insurance claims paid: ROW xliv (Households,Rest of the world)…Rb045",annual (J)
