row,col,value_EURm
act,com,1569815.0
atx,act,1664.0
cap,act,334427.0
com,act,844855.0
com,gvt,200134.0
com,hhd,338194.0
com,row,671077.0
com,si,179656.0
corp,cap,223105.0
corp,d4x,379595.0
corp,d9,1732.0
corp,soc_c,80490.0
corp,trf,21348.0
d4x,corp,443977.0
d4x,gvt,6468.0
d4x,hhd,6500.0
d4x,row,278599.0
d8,corp,29938.0
d9,corp,200.0
d9,gvt,2439.0
d9,hhd,22458.0
d9,row,808.0
dtx,corp,29092.0
dtx,gvt,280.0
dtx,hhd,75512.0
dtx,row,5087.0
gvt,atx,1664.0
gvt,cap,26045.0
gvt,d4x,6238.0
gvt,d9,2285.0
gvt,dtx,105837.0
gvt,ptx,88095.0
gvt,soc_c,118959.0
gvt,trf,4078.0
hhd,cap,95563.0
hhd,d4x,63939.0
hhd,d8,30106.0
hhd,d9,20840.0
hhd,lab,384348.0
hhd,soc_b,135873.0
hhd,soc_c,675.0
hhd,trf,24937.0
lab,act,388869.0
lab,row,3176.0
ptx,com,88095.0
row,cap,-10286.0
row,com,576006.0
row,d4x,285772.0
row,d8,-168.0
row,d9,1048.0
row,dtx,4134.0
row,hhd,15353.0
row,lab,11890.0
row,si,54346.0
row,soc_b,2870.0
row,soc_c,529.0
row,trf,13337.0
si,corp,126324.0
si,gvt,42051.0
si,hhd,68564.0
soc_b,corp,50552.0
soc_b,gvt,87276.0
soc_b,hhd,675.0
soc_b,row,240.0
soc_c,hhd,196689.0
soc_c,row,3964.0
trf,corp,24655.0
trf,gvt,13110.0
trf,hhd,23225.0
trf,row,2710.0
