receives\pays,activity,commodity,margin,factor,enterprise,household,government,tax,savings_investment,rest_of_world
activity,0.0,11036678.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commodity,5991752.2,0.0,871302.3,0.0,0.0,3588895.5,1104495.5,0.0,889950.3,1532388.6
margin,0.0,871302.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
factor,4938506.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123322.5
enterprise,0.0,0.0,0.0,1401773.0,857644.0,460282.0,687527.0,0.0,0.0,14929.0
household,0.0,0.0,0.0,3272377.0,1190240.0,0.0,659704.0,0.0,0.0,44829.5
government,0.0,0.0,0.0,124438.8,429412.0,453918.0,265177.0,1449016.7,0.0,968.0
tax,106419.7,568739.0,0.0,0.0,237566.0,536292.0,0.0,0.0,0.0,0.0
savings_investment,0.0,0.0,0.0,0.0,692364.0,97178.0,-43755.0,0.0,24451.1,144163.3
rest_of_world,0.0,1502064.9,0.0,263240.0,14929.0,30585.0,49782.0,0.0,0.0,0.0
